Date,AMAZONAS DARDANELOS
2020-01,581.1935483870968
2020-02,699.7633477633477
2020-03,1058.0430107526881
2020-04,684.8402777777778
2020-05,321.005376344086
2020-06,188.8388888888889
2020-07,125.42069892473118
2020-08,58.168010752688176
2020-09,37.69444444444444
2020-10,40.0255376344086
2020-11,40.9
2020-12,81.40591397849462
2021-01,176.84408602150538
2021-02,399.63690476190476
2021-03,801.1155913978495
2021-04,559.3805555555556
2021-05,247.2002688172043
2021-06,151.23882681564245
2021-07,94.67626886145405
2021-08,52.291666666666664
2021-09,49.10431154381085
2021-10,45.47210884353741
2021-11,124.70153417015342
2021-12,208.4306864064603
2022-01,328.67489711934155
2022-02,804.301043219076
2022-03,843.3623789764869
2022-04,1060.824512534819
2022-05,1852.5128205128206
2022-06,234.33240611961057
2022-07,81.73918918918919
2022-08,67.82368775235531
2022-09,39.798882681564244
2022-10,55.55510752688172
2022-11,48.5409604519774
2022-12,95.14013605442177
2023-01,155.01075268817203
2023-02,363.34954407294833
2023-03,755.0129682997118
2023-04,663.5764525993884
2023-05,330.994623655914
2023-06,170.0640243902439
2023-07,99.12228260869566
2023-08,52.946236559139784
2023-09,34.75487465181058
2023-10,10.827956989247312
2023-11,3.7356643356643358
2023-12,62.950276243093924
2024-01,130.765899864682
2024-02,288.2923076923077
2024-03,336.06325706594885
2024-04,496.82984658298466
2024-05,252.78213802435724
2024-06,124.73846153846154
2024-07,92.25070028011204
2024-08,42.6011673151751
