Date,PARAIBA DO SUL ANTA
2020-01,409.61155913978496
2020-02,778.3261494252873
2020-03,619.1720430107526
2020-04,305.4611111111111
2020-05,224.31317204301075
2020-06,193.04861111111111
2020-07,170.25672043010752
2020-08,161.39112903225808
2020-09,148.40694444444443
2020-10,140.6048387096774
2020-11,281.225
2020-12,545.4301075268817
2021-01,638.0
2021-02,438.1830357142857
2021-03,313.8709677419355
2021-04,217.5861111111111
2021-05,188.33064516129033
2021-06,183.5611111111111
2021-07,149.43413978494624
2021-08,147.3508064516129
2021-09,140.52083333333334
2021-10,271.0497311827957
2021-11,296.7138888888889
2021-12,399.752688172043
2022-01,781.2325268817204
2022-02,977.3779761904761
2022-03,359.97983870967744
2022-04,362.43194444444447
2022-05,249.67069892473117
2022-06,204.73611111111111
2022-07,180.99193548387098
2022-08,166.04166666666666
2022-09,187.55138888888888
2022-10,190.25806451612902
2022-11,268.49583333333334
2022-12,478.6989247311828
2023-01,892.1895161290323
2023-02,1017.5834586466166
2023-03,589.9758064516129
2023-04,418.5486111111111
2023-05,250.11290322580646
2023-06,216.90972222222223
2023-07,191.93010752688173
2023-08,185.3736559139785
2023-09,163.575
2023-10,240.8965053763441
2023-11,225.31932773109244
2023-12,224.48790322580646
2024-01,503.0806451612903
2024-02,609.2629310344828
2024-03,558.486559139785
2024-04,338.30833333333334
2024-05,205.6236559139785
2024-06,186.38990182328192
2024-07,165.32930107526883
2024-08,155.58089668615983
