Date,PARAIBA DO SUL FUNIL
2020-01,180.28091397849462
2020-02,325.7183908045977
2020-03,219.75672043010752
2020-04,113.28472222222223
2020-05,80.54032258064517
2020-06,167.7486111111111
2020-07,182.4811827956989
2020-08,189.75672043010752
2020-09,172.27916666666667
2020-10,157.25940860215053
2020-11,170.18472222222223
2020-12,294.01478494623655
2021-01,307.88844086021504
2021-02,267.32589285714283
2021-03,187.83467741935485
2021-04,101.43194444444444
2021-05,137.80779569892474
2021-06,185.38194444444446
2021-07,176.375
2021-08,188.69220430107526
2021-09,165.61388888888888
2021-10,191.23521505376345
2021-11,134.31666666666666
2021-12,179.43010752688173
2022-01,269.65994623655916
2022-02,328.39732142857144
2022-03,151.93817204301075
2022-04,134.75833333333333
2022-05,95.16935483870968
2022-06,133.74166666666667
2022-07,164.7688172043011
2022-08,193.80645161290323
2022-09,195.90416666666667
2022-10,146.07930107526883
2022-11,166.8296089385475
2022-12,241.24462365591398
2023-01,252.73252688172042
2023-02,368.6171171171171
2023-03,271.38709677419354
2023-04,204.22222222222223
2023-05,123.0725806451613
2023-06,108.58611111111111
2023-07,111.36155913978494
2023-08,148.46908602150538
2023-09,148.67777777777778
2023-10,210.7513440860215
2023-11,144.6998597475456
2023-12,154.27685950413223
2024-01,269.96505376344084
2024-02,290.5028735632184
2024-03,283.9704301075269
2024-04,257.73055555555555
2024-05,192.61693548387098
2024-06,185.89044943820224
2024-07,161.34139784946237
2024-08,91.31237721021611
