Date,PARANAIBA CACU
2020-01,173.08333333333334
2020-02,286.4022988505747
2020-03,228.34543010752688
2020-04,173.26944444444445
2020-05,130.5752688172043
2020-06,99.65555555555555
2020-07,79.53494623655914
2020-08,65.80619111709287
2020-09,53.05972222222222
2020-10,87.17876344086021
2020-11,93.4882108183079
2020-12,117.10483870967742
2021-01,162.92607526881721
2021-02,141.43303571428572
2021-03,190.69489247311827
2021-04,126.43611111111112
2021-05,101.95430107526882
2021-06,86.09318497913769
2021-07,73.55047106325706
2021-08,63.85329744279946
2021-09,53.55910987482615
2021-10,93.95967741935483
2021-11,160.63472222222222
2021-12,194.9005376344086
2022-01,246.08736559139786
2022-02,279.48660714285717
2022-03,264.14421768707484
2022-04,172.49791955617198
2022-05,118.5752688172043
2022-06,109.76944444444445
2022-07,80.31317204301075
2022-08,65.43548387096774
2022-09,59.72803347280335
2022-10,89.91935483870968
2022-11,73.69583333333334
2022-12,117.95161290322581
2023-01,226.0188679245283
2023-02,227.75680272108843
2023-03,255.21399730820997
2023-04,191.31805555555556
2023-05,125.21293800539084
2023-06,109.87719298245614
2023-07,84.1044776119403
2023-08,71.63734776725305
2023-09,64.4439461883408
2023-10,73.50971599402092
2023-11,87.70543806646526
2023-12,95.31989247311827
2024-01,120.01773533424284
2024-02,154.6221264367816
2024-03,239.09388335704125
2024-04,417.0338235294118
2024-05,165.0772357723577
2024-06,121.47771587743732
2024-07,99.2002688172043
2024-08,80.8401559454191
