Date,DOCE AIMORES
2020-01,995.2943548387096
2020-02,923.6422413793103
2020-03,1454.095430107527
2020-04,717.7666666666667
2020-05,494.3373655913978
2020-06,365.41805555555555
2020-07,303.2445652173913
2020-08,252.93010752688173
2020-09,199.95251396648044
2020-10,270.39516129032256
2020-11,557.941504178273
2020-12,688.0441988950276
2021-01,593.9097035040431
2021-02,882.4195488721805
2021-03,613.9354838709677
2021-04,384.2708333333333
2021-05,279.31451612903226
2021-06,245.96378830083566
2021-07,185.33064516129033
2021-08,167.54374158815614
2021-09,154.48956884561892
2021-10,388.7958904109589
2021-11,883.3013888888889
2021-12,1036.8663967611335
2022-01,1780.8658536585365
2022-02,1918.5688622754492
2022-03,767.3850340136055
2022-04,566.1673640167364
2022-05,434.31058495821725
2022-06,372.85515320334264
2022-07,322.45535714285717
2022-08,263.0876010781671
2022-09,246.0306406685237
2022-10,349.1112618724559
2022-11,723.1863699582753
2022-12,1427.0376344086021
2023-01,1970.6370967741937
2023-02,999.9879879879879
2023-03,536.5618279569892
2023-04,501.7916666666667
2023-05,451.65725806451616
2023-06,354.12916666666666
2023-07,312.0324324324324
2023-08,309.4543010752688
2023-09,307.01944444444445
2023-10,242.88978494623655
2023-11,370.43333333333334
2023-12,291.3817204301075
2024-01,892.056527590848
2024-02,951.5884892086331
2024-03,711.2820512820513
2024-04,424.97071129707115
2024-05,265.59274193548384
2024-06,227.9874651810585
2024-07,187.15322580645162
2024-08,166.20622568093384
