date,flow_rate
1943-05,50.03456774193548
1943-06,43.99918666666667
1943-07,31.287748387096777
1943-08,28.63607419354839
1943-09,22.58967
1943-10,47.541670967741936
1943-11,41.07138
1943-12,154.15112258064516
1944-01,72.0758193548387
1944-02,132.0318448275862
1944-03,91.0004064516129
1944-04,61.999496666666666
1944-05,47.063283870967744
1944-06,32.750899999999994
1944-07,28.11016451612903
1944-08,21.67932903225806
1944-09,18.738999999999997
1944-10,16.413806451612903
1944-11,27.293856666666667
1944-12,78.71254193548387
1945-01,121.7854935483871
1945-02,86.063
1945-03,88.79023548387097
1945-04,80.14334000000001
1945-05,48.468535483870966
1945-06,39.90427666666667
1945-07,30.81846451612903
1945-08,22.76748064516129
1945-09,19.190636666666666
1945-10,26.115287096774193
1945-11,61.750506666666666
1945-12,109.75869999999999
1946-01,102.01195483870968
1946-02,47.97865357142857
1946-03,54.66321935483871
1946-04,71.39160333333332
1946-05,36.051351612903225
1946-06,26.80181
1946-07,20.365529032258063
1946-08,17.808954838709678
1946-09,17.299466666666664
1946-10,24.46462258064516
1946-11,44.794473333333336
1946-12,97.67070322580645
1947-01,97.19672903225806
1947-02,60.799249999999994
1947-03,91.22722258064516
1947-04,55.15067333333333
1947-05,36.59267741935484
1947-06,23.24486
1947-07,26.61498064516129
1947-08,30.43727419354839
1947-09,29.144209999999998
1947-10,31.426525806451615
1947-11,50.28926333333333
1947-12,108.0011935483871
1948-01,79.87982580645162
1948-02,69.62893793103449
1948-03,86.25641612903226
1948-04,56.89277666666667
1948-05,40.20545806451613
1948-06,34.48640666666667
1948-07,24.42063870967742
1948-08,19.439796774193546
1948-09,17.581673333333335
1948-10,20.24162258064516
1948-11,45.72625666666667
1948-12,125.56675806451614
1949-01,127.12396451612904
1949-02,177.598425
1949-03,91.41793870967741
1949-04,79.57929
1949-05,46.89266774193548
1949-06,41.26097
1949-07,31.098454838709678
1949-08,23.32178064516129
1949-09,18.619173333333332
1949-10,34.82498387096774
1949-11,43.876223333333336
1949-12,85.99742580645162
1950-01,98.58037419354838
1950-02,90.24707142857143
1950-03,78.97150967741936
1950-04,84.95367
1950-05,48.06329032258064
1950-06,37.524696666666664
1950-07,28.236838709677418
1950-08,21.45492258064516
1950-09,19.608506666666663
1950-10,29.287590322580645
1950-11,66.69904
1950-12,103.73849032258065
1951-01,105.72712903225808
1951-02,105.00807499999999
1951-03,126.56774193548387
1951-04,83.82220000000001
1951-05,47.73203870967742
1951-06,37.53897666666667
1951-07,28.441529032258064
1951-08,23.118525806451615
1951-09,17.94917333333333
1951-10,15.922277419354838
1951-11,13.44763
1951-12,60.59503225806451
1952-01,142.21495806451614
1952-02,161.8495551724138
1952-03,131.59432903225806
1952-04,65.83124666666667
1952-05,44.55798387096774
1952-06,39.92011
1952-07,31.08207741935484
1952-08,25.36888387096774
1952-09,30.569450000000003
1952-10,39.482170967741936
1952-11,65.23752
1952-12,85.74425806451613
1953-01,43.03618064516129
1953-02,82.38128214285715
1953-03,56.711948387096776
1953-04,50.543009999999995
1953-05,41.73624516129032
1953-06,31.25797
1953-07,21.82274516129032
1953-08,19.034374193548388
1953-09,19.647730000000003
1953-10,18.448248387096776
1953-11,54.03518666666666
1953-12,89.8119870967742
1954-01,48.07176774193548
1954-02,29.220914285714287
1954-03,20.30028064516129
1954-04,42.98942
1954-05,27.372825806451612
1954-06,17.295256666666667
1954-07,11.69963870967742
1954-08,9.914693548387097
1954-09,8.59375
1954-10,13.087858064516128
1954-11,25.427583333333335
1954-12,35.59643225806452
1955-01,45.86063225806451
1955-02,23.020999999999997
1955-03,13.340890322580647
1955-04,28.402946666666665
1955-05,19.74088709677419
1955-06,20.059123333333332
1955-07,9.964161290322581
1955-08,7.442932258064515
1955-09,6.65568
1955-10,12.269135483870969
1955-11,35.65494
1955-12,54.84082580645162
1956-01,53.60898387096774
1956-02,14.036589655172413
1956-03,24.651761290322582
1956-04,18.014756666666667
1956-05,13.300364516129033
1956-06,11.662653333333333
1956-07,10.342141935483872
1956-08,10.138683870967741
1956-09,5.998819999999999
1956-10,7.623116129032258
1956-11,26.69294
1956-12,78.01196774193549
1957-01,45.4642064516129
1957-02,49.25489642857143
1957-03,59.67408387096774
1957-04,63.30435
1957-05,34.525970967741934
1957-06,25.39957666666667
1957-07,17.61058064516129
1957-08,13.053725806451613
1957-09,16.854773333333334
1957-10,13.108387096774194
1957-11,39.50435
1957-12,118.2982935483871
1958-01,42.68804838709678
1958-02,37.619592857142855
1958-03,28.65823870967742
1958-04,50.04083333333333
1958-05,43.92497419354839
1958-06,26.344876666666668
1958-07,24.129451612903228
1958-08,17.196829032258066
1958-09,20.86409666666667
1958-10,27.419396774193547
1958-11,42.267936666666664
1958-12,36.418477419354836
1959-01,57.049622580645156
1959-02,25.98759642857143
1959-03,38.11668387096775
1959-04,24.462963333333335
1959-05,16.249635483870968
1959-06,11.653513333333333
1959-07,8.440948387096775
1959-08,7.064903225806452
1959-09,6.294436666666667
1959-10,13.757793548387097
1959-11,49.18638333333333
1959-12,65.28636129032257
1960-01,52.304819354838706
1960-02,75.01903103448275
1960-03,130.33932580645163
1960-04,55.20008
1960-05,33.107464516129035
1960-06,27.131936666666668
1960-07,21.48113870967742
1960-08,14.552135483870968
1960-09,17.73539
1960-10,15.238435483870967
1960-11,43.34823666666667
1960-12,114.56694193548387
1961-01,122.21772580645161
1961-02,200.46249285714288
1961-03,92.51617096774193
1961-04,59.890636666666666
1961-05,44.948954838709675
1961-06,33.16132666666667
1961-07,25.767806451612906
1961-08,20.250974193548387
