Date,58305001
1973-01,376.17212903225806
1973-02,350.5515357142857
1973-03,259.3002258064516
1973-04,273.73036666666667
1973-05,238.52993548387096
1973-06,206.2911
1973-07,199.77629032258062
1973-08,202.05132258064518
1973-09,190.59433333333334
1973-10,208.1552258064516
1973-11,218.4795
1973-12,358.13354838709677
1974-01,381.4275483870968
1974-02,324.23549999999994
1974-03,408.2866774193549
1974-04,330.30663333333337
1974-05,214.5933870967742
1974-06,208.59560000000002
1974-07,204.23061290322582
1974-08,214.81016129032258
1974-09,206.09636666666665
1974-10,207.25390322580645
1974-11,194.66266666666667
1974-12,260.69938709677416
1975-01,247.30509677419357
1975-02,241.06642857142856
1975-03,215.49516129032259
1975-04,153.0130333333333
1975-05,133.7237741935484
1975-06,137.02550000000002
1975-07,162.72996774193547
1975-08,188.58241935483872
1975-09,187.5897
1975-10,199.26938709677418
1975-11,266.5337
1975-12,290.90529032258064
1976-01,376.3798387096774
1976-02,434.8173793103448
1976-03,368.82758064516133
1976-04,346.8884
1976-05,266.5566451612903
1976-06,263.29966666666667
1976-07,284.5904516129032
1976-08,303.45754838709684
1976-09,249.14376666666666
1976-10,289.2923870967742
1976-11,299.0181333333333
1976-12,387.51316129032256
1977-01,436.4528064516129
1977-02,371.5657857142857
1977-03,249.391064516129
1977-04,272.6017333333333
1977-05,232.71748387096775
1977-06,211.18983333333333
1977-07,234.2191935483871
1977-08,197.99809677419356
1977-09,246.79840000000002
1977-10,261.02551612903227
1977-11,331.0310666666667
1977-12,335.3864516129032
1978-01,319.73509677419355
1978-02,284.1134285714286
1978-03,287.439
1978-04,219.70350000000002
1978-05,216.20593548387097
1978-06,210.60546666666667
1978-07,194.33948387096774
1978-08,191.1715806451613
1978-09,196.70069999999998
1978-10,224.7233870967742
1978-11,219.41423333333333
1978-12,234.9376129032258
1979-01,
1979-02,
1979-03,
1979-04,
1979-05,
1979-06,
1979-07,
1979-08,
1979-09,
1979-10,
1979-11,
1979-12,
1980-01,
1980-02,
1980-03,
1980-04,
1980-05,
1980-06,
1980-07,
1980-08,
1980-09,
1980-10,
1980-11,
1980-12,
1981-01,
1981-02,
1981-03,
1981-04,
1981-05,
1981-06,
1981-07,
1981-08,
1981-09,
1981-10,
1981-11,
1981-12,
1982-01,
1982-02,
1982-03,
1982-04,
1982-05,
1982-06,
1982-07,
1982-08,
1982-09,
1982-10,
1982-11,
1982-12,
1983-01,
1983-02,
1983-03,
1983-04,
1983-05,
1983-06,
1983-07,
1983-08,
1983-09,
1983-10,
1983-11,
1983-12,
1984-01,
1984-02,
1984-03,
1984-04,
1984-05,
1984-06,
1984-07,
1984-08,
1984-09,
1984-10,
1984-11,
1984-12,
1985-01,
1985-02,
1985-03,
1985-04,
1985-05,
1985-06,
1985-07,
1985-08,
1985-09,
1985-10,
1985-11,
1985-12,
1986-01,
1986-02,
1986-03,
1986-04,
1986-05,
1986-06,
1986-07,
1986-08,
1986-09,
1986-10,
1986-11,
1986-12,
1987-01,
1987-02,
1987-03,
1987-04,
1987-05,
1987-06,
1987-07,
1987-08,
1987-09,
1987-10,
1987-11,
1987-12,
1988-01,
1988-02,526.1581666666667
1988-03,505.498935483871
1988-04,306.0736
1988-05,217.03658064516128
1988-06,308.4405666666667
1988-07,157.69032258064516
1988-08,80.268
1988-09,214.16233333333332
1988-10,186.42229032258066
1988-11,206.53673333333333
1988-12,172.62664516129033
1989-01,421.47929032258065
1989-02,495.9045714285714
1989-03,490.8239032258064
1989-04,432.28836666666666
1989-05,224.46854838709677
1989-06,262.21543333333335
1989-07,199.445
1989-08,204.55958064516128
1989-09,269.1496
1989-10,238.66874193548387
1989-11,260.26706666666666
1989-12,297.8573548387097
1990-01,307.4407741935484
1990-02,272.87253571428573
1990-03,288.12651612903227
1990-04,278.05896666666666
1990-05,251.86467741935485
1990-06,262.29156666666665
1990-07,236.6648387096774
1990-08,245.8563548387097
1990-09,219.69639999999998
1990-10,233.8531612903226
1990-11,218.41893333333334
1990-12,219.8473548387097
1991-01,269.04999999999995
1991-02,412.4256785714286
1991-03,500.6205806451613
1991-04,515.9264666666667
1991-05,310.2313548387097
1991-06,287.09720000000004
1991-07,302.1438709677419
1991-08,278.4933870967742
1991-09,240.97806666666668
1991-10,272.5855806451613
1991-11,257.5947
1991-12,269.16496774193547
1992-01,347.9027419354839
1992-02,285.1109310344828
1992-03,257.83390322580647
1992-04,257.17766666666665
1992-05,249.80241935483872
1992-06,253.1465
1992-07,220.98229032258064
1992-08,210.4296129032258
1992-09,241.98293333333334
1992-10,231.0262258064516
1992-11,268.9379
1992-12,283.0381612903226
1993-01,280.517935483871
1993-02,435.8711785714286
1993-03,427.96541935483873
1993-04,344.705
1993-05,273.1534516129032
1993-06,278.06949999999995
1993-07,226.8837741935484
1993-08,229.106
1993-09,224.76139999999998
1993-10,251.8937419354839
1993-11,279.47696666666667
1993-12,286.3581290322581
1994-01,291.90409677419353
1994-02,291.8367857142857
1994-03,287.05993548387096
1994-04,239.5265
1994-05,212.4948064516129
1994-06,220.54193333333333
1994-07,212.2795806451613
1994-08,201.8276129032258
1994-09,190.66583333333335
1994-10,197.667
1994-11,198.43370000000002
1994-12,244.55532258064517
1995-01,242.94667741935484
1995-02,653.2226071428571
1995-03,300.63735483870965
1995-04,252.84316666666666
1995-05,226.12374193548388
1995-06,220.24453333333335
1995-07,213.98496774193546
1995-08,225.88483870967744
1995-09,210.38736666666668
1995-10,223.68716129032256
1995-11,276.31103333333334
1995-12,288.020870967742
1996-01,433.41767741935485
1996-02,524.5726551724138
