Date,ITAIPU
2011-04,18636.094666666664
2011-05,11805.633225806452
2011-06,10006.643
2011-07,9820.601290322582
2011-08,11402.002903225808
2011-09,7277.888
2011-10,9858.309677419355
2011-11,10038.071666666667
2011-12,10687.240322580645
2012-01,17813.422903225804
2012-02,14100.675172413794
2012-03,10806.607741935482
2012-04,10229.038999999999
2012-05,10910.29064516129
2012-06,16147.503333333332
2012-07,11143.774516129033
2012-08,6904.126451612904
2012-09,5696.524
2012-10,6039.177741935484
2012-11,7341.051
2012-12,8975.352258064515
2013-01,13168.958709677418
2013-02,18011.713571428572
2013-03,16912.610967741934
2013-04,18074.489999999998
2013-05,10762.017419354837
2013-06,16972.988666666664
2013-07,14554.668387096774
2013-08,8277.623870967742
2013-09,7015.772
2013-10,9697.608387096774
2013-11,7706.000333333333
2013-12,10014.12258064516
2014-01,9651.805161290324
2014-02,6959.3875
2014-03,11328.263225806451
2014-04,11335.703666666666
2014-05,9038.161290322581
2014-06,13308.188333333334
2014-07,8269.902258064516
2014-08,6945.419032258064
2014-09,7102.4186666666665
2014-10,7462.631612903226
2014-11,6992.491333333333
2014-12,11541.337419354839
2015-01,9145.68
2015-02,11952.898214285715
2015-03,13971.521612903225
2015-04,12527.465
2015-05,11417.666129032259
2015-06,9607.899666666666
2015-07,15519.108387096774
2015-08,7894.757741935484
2015-09,9466.237
2015-10,10550.278387096774
2015-11,15154.454666666667
2015-12,20295.102903225805
2016-01,27255.608064516127
2016-02,20170.940344827588
2016-03,21719.92258064516
2016-04,12152.496666666668
2016-05,12760.798387096775
2016-06,15871.643333333333
2016-07,9989.547419354838
2016-08,9946.442258064517
2016-09,8807.123
2016-10,8545.056451612903
2016-11,9200.498666666668
2016-12,11655.652258064516
2017-01,12815.989032258063
2017-02,15248.870714285715
2017-03,11840.78064516129
2017-04,10497.078666666666
2017-05,12676.612258064515
2017-06,13369.074333333332
2017-07,7376.00935483871
2017-08,7106.801290322581
2017-09,5265.471333333334
2017-10,7047.635806451613
2017-11,13190.712
2017-12,14509.767096774192
2018-01,22190.771612903227
2018-02,15771.402857142859
2018-03,16385.40258064516
2018-04,13168.520666666667
2018-05,8305.096451612902
2018-06,7501.948666666666
2018-07,6049.015806451613
2018-08,6248.595806451613
2018-09,6681.4400000000005
2018-10,10915.83193548387
2018-11,12313.813333333334
2018-12,11794.435161290323
2019-01,10494.47
2019-02,9752.01
2019-03,16132.902258064516
2019-04,12072.985333333334
2019-05,10145.315483870969
2019-06,9924.596333333333
2019-07,7000.2774193548385
2019-08,5522.618709677419
2019-09,4917.687666666667
2019-10,4412.682258064516
2019-11,5302.961666666667
2019-12,11417.408387096773
2020-01,10963.023548387097
2020-02,15717.714137931036
2020-03,14382.62129032258
2020-04,9381.567333333334
2020-05,7309.275161290322
2020-06,6911.980666666667
2020-07,6354.8567741935485
2020-08,6402.862580645161
2020-09,4628.674
2020-10,3835.9629032258067
2020-11,4966.917333333333
2020-12,7053.425161290323
2021-01,12712.757419354839
2021-02,11852.292857142858
2021-03,11016.831290322581
2021-04,6422.077333333334
2021-05,4993.358709677419
2021-06,5337.398666666666
2021-07,4473.762903225806
2021-08,3982.6045161290326
2021-09,3812.221
2021-10,8368.274193548386
2021-11,7850.735333333333
2021-12,7827.309032258065
2022-01,9124.03
