date,flow_rate
1980-01-01,36.9
1980-01-02,39.4
1980-01-03,41.6
1980-01-04,43.8
1980-01-05,42.9
1980-01-06,52.4
1980-01-07,51.1
1980-01-08,51.1
1980-01-09,50.1
1980-01-10,47.4
1980-01-11,43.8
1980-01-12,40.3
1980-01-13,39.4
1980-01-14,
1980-01-15,
1980-01-16,
1980-01-17,
1980-01-18,
1980-01-19,
1980-01-20,
1980-01-21,
1980-01-22,
1980-01-23,
1980-01-24,
1980-01-25,
1980-01-26,
1980-01-27,
1980-01-28,
1980-01-29,
1980-01-30,
1980-01-31,
1979-12-01,55.8
1979-12-02,41.6
1979-12-03,35.2
1979-12-04,32.3
1979-12-05,26.9
1979-12-06,24.3
1979-12-07,24.3
1979-12-08,32.3
1979-12-09,37.7
1979-12-10,45.6
1979-12-11,59.2
1979-12-12,57.7
1979-12-13,48.8
1979-12-14,44.7
1979-12-15,34.8
1979-12-16,30.0
1979-12-17,27.3
1979-12-18,23.5
1979-12-19,22.8
1979-12-20,28.4
1979-12-21,31.9
1979-12-22,37.3
1979-12-23,47.8
1979-12-24,54.8
1979-12-25,54.8
1979-12-26,53.4
1979-12-27,51.1
1979-12-28,48.3
1979-12-29,41.6
1979-12-30,38.6
1979-12-31,35.6
1979-11-01,24.3
1979-11-02,22.8
1979-11-03,21.7
1979-11-04,20.3
1979-11-05,22.8
1979-11-06,32.3
1979-11-07,32.7
1979-11-08,27.3
1979-11-09,25.4
1979-11-10,23.1
1979-11-11,23.5
1979-11-12,26.2
1979-11-13,26.9
1979-11-14,28.4
1979-11-15,26.9
1979-11-16,26.2
1979-11-17,24.3
1979-11-18,23.5
1979-11-19,24.6
1979-11-20,25.4
1979-11-21,39.4
1979-11-22,39.4
1979-11-23,36.9
1979-11-24,29.2
1979-11-25,23.5
1979-11-26,26.2
1979-11-27,41.2
1979-11-28,70.3
1979-11-29,85.6
1979-11-30,72.9
1979-10-01,16.7
1979-10-02,16.4
1979-10-03,16.4
1979-10-04,16.4
1979-10-05,16.1
1979-10-06,16.1
1979-10-07,16.1
1979-10-08,15.7
1979-10-09,15.7
1979-10-10,17.0
1979-10-11,19.7
1979-10-12,20.0
1979-10-13,19.3
1979-10-14,17.0
1979-10-15,17.0
1979-10-16,46.9
1979-10-17,43.8
1979-10-18,51.1
1979-10-19,66.7
1979-10-20,60.6
1979-10-21,57.2
1979-10-22,58.7
1979-10-23,52.4
1979-10-24,38.1
1979-10-25,31.1
1979-10-26,27.3
1979-10-27,23.1
1979-10-28,20.7
1979-10-29,21.7
1979-10-30,23.5
1979-10-31,29.2
1979-09-01,20.0
1979-09-02,20.7
1979-09-03,20.0
1979-09-04,18.7
1979-09-05,18.3
1979-09-06,18.3
1979-09-07,18.3
1979-09-08,18.7
1979-09-09,18.7
1979-09-10,18.7
1979-09-11,18.0
1979-09-12,18.0
1979-09-13,17.7
1979-09-14,17.7
1979-09-15,17.7
1979-09-16,17.4
1979-09-17,17.4
1979-09-18,17.4
1979-09-19,17.4
1979-09-20,18.0
1979-09-21,26.2
1979-09-22,26.5
1979-09-23,27.3
1979-09-24,27.3
1979-09-25,23.9
1979-09-26,20.7
1979-09-27,19.3
1979-09-28,18.7
1979-09-29,17.7
1979-09-30,16.7
1979-08-01,23.9
1979-08-02,24.3
1979-08-03,23.9
1979-08-04,23.5
1979-08-05,22.8
1979-08-06,22.4
1979-08-07,22.4
1979-08-08,22.1
1979-08-09,21.4
1979-08-10,21.4
1979-08-11,22.8
1979-08-12,23.9
1979-08-13,23.5
1979-08-14,22.8
1979-08-15,22.1
1979-08-16,21.7
1979-08-17,21.4
1979-08-18,21.0
1979-08-19,20.7
1979-08-20,20.0
1979-08-21,20.3
1979-08-22,21.0
1979-08-23,21.7
1979-08-24,21.4
1979-08-25,20.7
1979-08-26,20.3
1979-08-27,20.0
1979-08-28,19.7
1979-08-29,19.3
1979-08-30,19.3
1979-08-31,20.0
1979-07-01,30.7
1979-07-02,28.8
1979-07-03,28.1
1979-07-04,27.7
1979-07-05,27.3
1979-07-06,26.9
1979-07-07,28.8
1979-07-08,31.1
1979-07-09,30.3
1979-07-10,28.1
1979-07-11,26.5
1979-07-12,26.9
1979-07-13,27.3
1979-07-14,26.9
1979-07-15,25.8
1979-07-16,25.4
1979-07-17,24.3
1979-07-18,24.6
1979-07-19,26.2
1979-07-20,25.4
1979-07-21,24.6
1979-07-22,23.9
1979-07-23,23.5
1979-07-24,22.8
1979-07-25,22.8
1979-07-26,22.8
1979-07-27,22.4
1979-07-28,22.1
1979-07-29,22.4
1979-07-30,22.8
1979-07-31,23.5
1979-06-01,31.9
1979-06-02,31.5
1979-06-03,30.7
1979-06-04,30.3
1979-06-05,30.7
1979-06-06,31.1
1979-06-07,30.7
1979-06-08,31.1
1979-06-09,30.7
1979-06-10,30.0
1979-06-11,30.0
1979-06-12,29.6
1979-06-13,29.2
1979-06-14,28.8
1979-06-15,28.8
1979-06-16,29.2
1979-06-17,28.8
1979-06-18,28.4
1979-06-19,28.1
1979-06-20,28.1
1979-06-21,28.1
1979-06-22,28.1
1979-06-23,28.8
1979-06-24,29.6
1979-06-25,29.6
1979-06-26,30.0
1979-06-27,30.3
1979-06-28,31.1
1979-06-29,34.4
1979-06-30,33.1
1979-05-01,39.8
1979-05-02,45.1
1979-05-03,48.3
1979-05-04,44.2
1979-05-05,41.6
1979-05-06,39.4
1979-05-07,38.1
1979-05-08,38.6
1979-05-09,38.6
1979-05-10,36.9
1979-05-11,35.6
1979-05-12,35.2
1979-05-13,35.2
1979-05-14,35.2
1979-05-15,35.2
1979-05-16,34.8
1979-05-17,34.4
1979-05-18,34.4
1979-05-19,35.2
1979-05-20,34.4
1979-05-21,34.8
1979-05-22,34.0
1979-05-23,34.4
1979-05-24,33.1
1979-05-25,32.3
1979-05-26,32.3
1979-05-27,31.9
1979-05-28,31.9
1979-05-29,32.3
1979-05-30,31.9
1979-05-31,31.9
1979-04-01,66.2
1979-04-02,65.7
1979-04-03,66.2
1979-04-04,65.1
1979-04-05,64.1
1979-04-06,57.7
1979-04-07,53.4
1979-04-08,55.3
1979-04-09,59.2
1979-04-10,62.6
1979-04-11,62.6
1979-04-12,58.7
1979-04-13,53.9
1979-04-14,59.7
1979-04-15,64.1
1979-04-16,70.3
1979-04-17,67.7
1979-04-18,53.9
1979-04-19,52.4
1979-04-20,48.8
1979-04-21,42.9
1979-04-22,40.7
1979-04-23,45.6
1979-04-24,45.1
1979-04-25,43.8
1979-04-26,43.8
1979-04-27,41.6
1979-04-28,41.6
1979-04-29,41.2
1979-04-30,40.7
1979-03-01,77.7
1979-03-02,74.5
1979-03-03,71.3
1979-03-04,68.7
1979-03-05,79.7
