Date,DOCE AIMORES
2020-01-01,278.4166666666667
2020-01-02,301.5416666666667
2020-01-03,287.125
2020-01-04,325.4583333333333
2020-01-05,299.625
2020-01-06,350.0
2020-01-07,419.8333333333333
2020-01-08,577.25
2020-01-09,674.3333333333334
2020-01-10,539.7916666666666
2020-01-11,458.0833333333333
2020-01-12,407.375
2020-01-13,415.75
2020-01-14,374.9583333333333
2020-01-15,336.9166666666667
2020-01-16,319.5
2020-01-17,332.6666666666667
2020-01-18,379.0416666666667
2020-01-19,406.375
2020-01-20,420.7083333333333
2020-01-21,605.125
2020-01-22,782.5416666666666
2020-01-23,870.9166666666666
2020-01-24,1005.625
2020-01-25,1046.7083333333333
2020-01-26,1877.4583333333333
2020-01-27,3648.4166666666665
2020-01-28,4759.166666666667
2020-01-29,4071.625
2020-01-30,2587.3333333333335
2020-01-31,1694.4583333333333
2020-02-01,1443.625
2020-02-02,1143.5
2020-02-03,999.3333333333334
2020-02-04,836.9583333333334
2020-02-05,791.625
2020-02-06,767.6666666666666
2020-02-07,769.75
2020-02-08,939.625
2020-02-09,830.0
2020-02-10,866.2083333333334
2020-02-11,819.7916666666666
2020-02-12,857.0416666666666
2020-02-13,788.8333333333334
2020-02-14,796.2916666666666
2020-02-15,1120.7083333333333
2020-02-16,1755.6666666666667
2020-02-17,1683.125
2020-02-18,1152.9583333333333
2020-02-19,830.4166666666666
2020-02-20,771.625
2020-02-21,767.4583333333334
2020-02-22,663.125
2020-02-23,766.5833333333334
2020-02-24,707.6666666666666
2020-02-25,794.0833333333334
2020-02-26,847.6666666666666
2020-02-27,733.4583333333334
2020-02-28,756.4166666666666
2020-02-29,784.4166666666666
2020-03-01,1212.0416666666667
2020-03-02,1931.4166666666667
2020-03-03,2101.7916666666665
2020-03-04,2084.2916666666665
2020-03-05,2492.7916666666665
2020-03-06,2882.25
2020-03-07,3016.125
2020-03-08,2647.25
2020-03-09,2282.0416666666665
2020-03-10,1914.3333333333333
2020-03-11,1524.75
2020-03-12,1280.3333333333333
2020-03-13,1138.4583333333333
2020-03-14,1100.125
2020-03-15,1085.7916666666667
2020-03-16,1012.375
2020-03-17,935.3333333333334
2020-03-18,902.75
2020-03-19,835.25
2020-03-20,804.5833333333334
2020-03-21,751.1666666666666
2020-03-22,836.25
2020-03-23,942.625
2020-03-24,1515.4583333333333
2020-03-25,1611.0416666666667
2020-03-26,1411.2083333333333
2020-03-27,1208.375
2020-03-28,1072.9166666666667
2020-03-29,908.0416666666666
2020-03-30,824.875
2020-03-31,810.9166666666666
2020-04-01,745.8333333333334
2020-04-02,693.6666666666666
2020-04-03,681.0833333333334
2020-04-04,677.4583333333334
2020-04-05,777.5833333333334
2020-04-06,761.4583333333334
2020-04-07,667.75
2020-04-08,783.4166666666666
2020-04-09,842.0416666666666
2020-04-10,907.6666666666666
2020-04-11,918.0833333333334
2020-04-12,963.3333333333334
2020-04-13,922.875
2020-04-14,946.2916666666666
2020-04-15,1053.7083333333333
2020-04-16,848.2083333333334
2020-04-17,774.2083333333334
2020-04-18,717.1666666666666
2020-04-19,730.0
2020-04-20,669.5
2020-04-21,629.4166666666666
2020-04-22,611.0833333333334
2020-04-23,586.8333333333334
2020-04-24,591.1666666666666
2020-04-25,540.9166666666666
2020-04-26,528.2916666666666
2020-04-27,505.5416666666667
2020-04-28,491.75
2020-04-29,488.2083333333333
2020-04-30,478.4583333333333
2020-05-01,466.0416666666667
2020-05-02,459.7916666666667
2020-05-03,462.6666666666667
2020-05-04,439.75
2020-05-05,422.875
2020-05-06,473.4166666666667
2020-05-07,433.625
2020-05-08,447.125
2020-05-09,435.2916666666667
2020-05-10,431.0
2020-05-11,429.4583333333333
2020-05-12,421.7083333333333
2020-05-13,422.9583333333333
2020-05-14,416.5833333333333
2020-05-15,416.4583333333333
2020-05-16,431.875
2020-05-17,509.5833333333333
2020-05-18,603.5
2020-05-19,673.8333333333334
2020-05-20,619.4166666666666
2020-05-21,549.75
2020-05-22,520.4166666666666
2020-05-23,486.4583333333333
2020-05-24,441.4166666666667
2020-05-25,521.0833333333334
2020-05-26,633.0
2020-05-27,624.5416666666666
2020-05-28,593.5416666666666
2020-05-29,542.7916666666666
2020-05-30,505.875
2020-05-31,488.625
2020-06-01,451.875
2020-06-02,444.25
2020-06-03,424.7083333333333
2020-06-04,401.0833333333333
2020-06-05,402.7083333333333
2020-06-06,374.0
2020-06-07,381.125
2020-06-08,370.7083333333333
2020-06-09,393.9583333333333
2020-06-10,372.9583333333333
2020-06-11,364.2916666666667
2020-06-12,353.75
2020-06-13,376.5833333333333
2020-06-14,358.3333333333333
2020-06-15,343.9583333333333
2020-06-16,341.75
2020-06-17,350.1666666666667
2020-06-18,331.4166666666667
2020-06-19,358.6666666666667
2020-06-20,347.9166666666667
2020-06-21,345.625
2020-06-22,350.125
2020-06-23,355.5
2020-06-24,351.75
2020-06-25,329.8333333333333
2020-06-26,331.0833333333333
2020-06-27,331.2083333333333
2020-06-28,329.2916666666667
2020-06-29,368.9583333333333
2020-06-30,324.9583333333333
2020-07-01,349.25
2020-07-02,336.6666666666667
2020-07-03,353.2916666666667
2020-07-04,340.25
2020-07-05,313.4166666666667
2020-07-06,322.1666666666667
2020-07-07,354.6666666666667
2020-07-08,346.4166666666667
2020-07-09,340.2916666666667
2020-07-10,304.1666666666667
2020-07-11,297.0833333333333
2020-07-12,308.5833333333333
2020-07-13,309.625
2020-07-14,301.25
2020-07-15,293.8333333333333
2020-07-16,299.7083333333333
2020-07-17,286.5
2020-07-18,286.4583333333333
