Date,PARANAIBA CACU
2020-01-01,117.04166666666667
2020-01-02,132.66666666666666
2020-01-03,175.20833333333334
2020-01-04,193.16666666666666
2020-01-05,184.25
2020-01-06,173.41666666666666
2020-01-07,153.91666666666666
2020-01-08,178.04166666666666
2020-01-09,178.625
2020-01-10,216.91666666666666
2020-01-11,195.54166666666666
2020-01-12,165.95833333333334
2020-01-13,157.54166666666666
2020-01-14,152.66666666666666
2020-01-15,129.125
2020-01-16,138.75
2020-01-17,176.83333333333334
2020-01-18,222.0
2020-01-19,215.33333333333334
2020-01-20,173.58333333333334
2020-01-21,177.45833333333334
2020-01-22,165.20833333333334
2020-01-23,162.125
2020-01-24,146.45833333333334
2020-01-25,175.79166666666666
2020-01-26,225.83333333333334
2020-01-27,223.875
2020-01-28,200.29166666666666
2020-01-29,168.70833333333334
2020-01-30,145.625
2020-01-31,143.625
2020-02-01,210.08333333333334
2020-02-02,218.04166666666666
2020-02-03,182.91666666666666
2020-02-04,192.04166666666666
2020-02-05,208.70833333333334
2020-02-06,225.70833333333334
2020-02-07,302.375
2020-02-08,390.5416666666667
2020-02-09,413.875
2020-02-10,406.75
2020-02-11,332.125
2020-02-12,290.5833333333333
2020-02-13,339.4166666666667
2020-02-14,296.0416666666667
2020-02-15,259.7916666666667
2020-02-16,232.58333333333334
2020-02-17,268.0
2020-02-18,311.2916666666667
2020-02-19,310.5
2020-02-20,232.125
2020-02-21,335.875
2020-02-22,313.5416666666667
2020-02-23,251.20833333333334
2020-02-24,271.2916666666667
2020-02-25,267.125
2020-02-26,262.0833333333333
2020-02-27,277.7916666666667
2020-02-28,331.3333333333333
2020-02-29,371.9166666666667
2020-03-01,324.5833333333333
2020-03-02,361.6666666666667
2020-03-03,281.1666666666667
2020-03-04,245.75
2020-03-05,210.45833333333334
2020-03-06,245.20833333333334
2020-03-07,223.33333333333334
2020-03-08,215.08333333333334
2020-03-09,209.29166666666666
2020-03-10,194.83333333333334
2020-03-11,181.375
2020-03-12,172.70833333333334
2020-03-13,165.08333333333334
2020-03-14,164.04166666666666
2020-03-15,165.58333333333334
2020-03-16,188.95833333333334
2020-03-17,216.5
2020-03-18,195.75
2020-03-19,173.54166666666666
2020-03-20,194.66666666666666
2020-03-21,268.3333333333333
2020-03-22,277.0416666666667
2020-03-23,285.0
2020-03-24,301.8333333333333
2020-03-25,270.5416666666667
2020-03-26,254.5
2020-03-27,233.625
2020-03-28,217.625
2020-03-29,213.08333333333334
2020-03-30,213.08333333333334
2020-03-31,214.45833333333334
2020-04-01,212.29166666666666
2020-04-02,200.20833333333334
2020-04-03,194.45833333333334
2020-04-04,172.83333333333334
2020-04-05,194.83333333333334
2020-04-06,184.0
2020-04-07,179.95833333333334
2020-04-08,192.91666666666666
2020-04-09,187.16666666666666
2020-04-10,171.625
2020-04-11,160.08333333333334
2020-04-12,168.5
2020-04-13,179.08333333333334
2020-04-14,179.25
2020-04-15,193.25
2020-04-16,196.58333333333334
2020-04-17,173.0
2020-04-18,165.08333333333334
2020-04-19,164.58333333333334
2020-04-20,206.45833333333334
2020-04-21,187.33333333333334
2020-04-22,178.20833333333334
2020-04-23,156.58333333333334
2020-04-24,152.5
2020-04-25,148.41666666666666
2020-04-26,146.29166666666666
2020-04-27,143.125
2020-04-28,138.75
2020-04-29,138.29166666666666
2020-04-30,132.41666666666666
2020-05-01,127.20833333333333
2020-05-02,132.70833333333334
2020-05-03,125.29166666666667
2020-05-04,120.91666666666667
2020-05-05,128.70833333333334
2020-05-06,128.125
2020-05-07,132.29166666666666
2020-05-08,142.08333333333334
2020-05-09,138.04166666666666
2020-05-10,130.83333333333334
2020-05-11,126.25
2020-05-12,122.125
2020-05-13,120.29166666666667
2020-05-14,122.5
2020-05-15,121.54166666666667
2020-05-16,125.95833333333333
2020-05-17,133.29166666666666
2020-05-18,130.16666666666666
2020-05-19,120.66666666666667
2020-05-20,119.33333333333333
2020-05-21,121.75
2020-05-22,107.83333333333333
2020-05-23,122.41666666666667
2020-05-24,165.75
2020-05-25,195.125
2020-05-26,158.83333333333334
2020-05-27,140.45833333333334
2020-05-28,123.20833333333333
2020-05-29,124.75
2020-05-30,126.95833333333333
2020-05-31,112.41666666666667
2020-06-01,118.58333333333333
2020-06-02,115.75
2020-06-03,110.33333333333333
2020-06-04,118.04166666666667
2020-06-05,103.54166666666667
2020-06-06,113.875
2020-06-07,103.41666666666667
2020-06-08,109.66666666666667
2020-06-09,104.5
2020-06-10,104.29166666666667
2020-06-11,107.54166666666667
2020-06-12,99.875
2020-06-13,101.95833333333333
2020-06-14,96.0
2020-06-15,94.25
2020-06-16,96.16666666666667
2020-06-17,94.66666666666667
2020-06-18,93.66666666666667
2020-06-19,94.33333333333333
2020-06-20,93.83333333333333
2020-06-21,93.83333333333333
2020-06-22,96.125
2020-06-23,89.58333333333333
2020-06-24,94.45833333333333
2020-06-25,91.08333333333333
2020-06-26,86.58333333333333
2020-06-27,88.66666666666667
2020-06-28,90.79166666666667
2020-06-29,93.79166666666667
2020-06-30,90.45833333333333
2020-07-01,87.58333333333333
2020-07-02,87.875
2020-07-03,84.20833333333333
2020-07-04,80.79166666666667
2020-07-05,85.33333333333333
2020-07-06,83.16666666666667
2020-07-07,81.20833333333333
2020-07-08,77.83333333333333
2020-07-09,78.125
2020-07-10,79.58333333333333
2020-07-11,84.54166666666667
2020-07-12,82.91666666666667
2020-07-13,81.29166666666667
2020-07-14,81.0
2020-07-15,82.54166666666667
2020-07-16,78.66666666666667
2020-07-17,80.45833333333333
2020-07-18,78.5
