Date,PARAIBA DO SUL ANTA
2020-01-01,179.58333333333334
2020-01-02,233.16666666666666
2020-01-03,530.5833333333334
2020-01-04,409.375
2020-01-05,503.125
2020-01-06,803.375
2020-01-07,876.1666666666666
2020-01-08,589.3333333333334
2020-01-09,589.3333333333334
2020-01-10,632.4583333333334
2020-01-11,469.5833333333333
2020-01-12,411.5
2020-01-13,431.6666666666667
2020-01-14,411.1666666666667
2020-01-15,366.625
2020-01-16,296.7083333333333
2020-01-17,293.625
2020-01-18,558.7916666666666
2020-01-19,413.5833333333333
2020-01-20,302.1666666666667
2020-01-21,264.0416666666667
2020-01-22,279.5833333333333
2020-01-23,247.79166666666666
2020-01-24,274.875
2020-01-25,462.0
2020-01-26,425.3333333333333
2020-01-27,239.70833333333334
2020-01-28,280.125
2020-01-29,342.7916666666667
2020-01-30,304.1666666666667
2020-01-31,275.625
2020-02-01,278.0833333333333
2020-02-02,282.9583333333333
2020-02-03,524.2083333333334
2020-02-04,629.0
2020-02-05,867.0416666666666
2020-02-06,1109.625
2020-02-07,1030.0833333333333
2020-02-08,766.125
2020-02-09,676.2083333333334
2020-02-10,579.7083333333334
2020-02-11,579.0833333333334
2020-02-12,928.625
2020-02-13,1297.9166666666667
2020-02-14,1280.9583333333333
2020-02-15,1120.0833333333333
2020-02-16,1026.5416666666667
2020-02-17,935.2916666666666
2020-02-18,891.875
2020-02-19,852.125
2020-02-20,543.5
2020-02-21,639.2083333333334
2020-02-22,635.3333333333334
2020-02-23,754.5
2020-02-24,575.7083333333334
2020-02-25,501.1666666666667
2020-02-26,563.7916666666666
2020-02-27,927.9166666666666
2020-02-28,813.25
2020-02-29,961.5416666666666
2020-03-01,981.5833333333334
2020-03-02,1465.625
2020-03-03,1439.2916666666667
2020-03-04,1576.25
2020-03-05,1361.4583333333333
2020-03-06,1002.0833333333334
2020-03-07,744.9166666666666
2020-03-08,669.0416666666666
2020-03-09,499.4583333333333
2020-03-10,785.4583333333334
2020-03-11,592.0416666666666
2020-03-12,447.0833333333333
2020-03-13,396.1666666666667
2020-03-14,363.5416666666667
2020-03-15,370.0416666666667
2020-03-16,411.2916666666667
2020-03-17,442.4583333333333
2020-03-18,373.4166666666667
2020-03-19,425.2083333333333
2020-03-20,468.4166666666667
2020-03-21,588.625
2020-03-22,490.5
2020-03-23,438.2083333333333
2020-03-24,354.9583333333333
2020-03-25,295.0
2020-03-26,338.2916666666667
2020-03-27,330.0
2020-03-28,317.0416666666667
2020-03-29,307.1666666666667
2020-03-30,331.8333333333333
2020-03-31,587.875
2020-04-01,658.3333333333334
2020-04-02,548.9583333333334
2020-04-03,431.0
2020-04-04,377.0833333333333
2020-04-05,292.2916666666667
2020-04-06,297.0833333333333
2020-04-07,328.375
2020-04-08,336.2916666666667
2020-04-09,298.8333333333333
2020-04-10,280.7916666666667
2020-04-11,312.375
2020-04-12,308.5416666666667
2020-04-13,304.9166666666667
2020-04-14,295.4583333333333
2020-04-15,289.4583333333333
2020-04-16,276.625
2020-04-17,275.6666666666667
2020-04-18,278.4583333333333
2020-04-19,262.9166666666667
2020-04-20,258.75
2020-04-21,255.04166666666666
2020-04-22,248.66666666666666
2020-04-23,255.125
2020-04-24,258.9583333333333
2020-04-25,241.625
2020-04-26,240.66666666666666
2020-04-27,247.79166666666666
2020-04-28,239.79166666666666
2020-04-29,226.875
2020-04-30,237.08333333333334
2020-05-01,230.5
2020-05-02,230.95833333333334
2020-05-03,229.0
2020-05-04,233.58333333333334
2020-05-05,236.45833333333334
2020-05-06,231.95833333333334
2020-05-07,228.08333333333334
2020-05-08,219.33333333333334
2020-05-09,231.20833333333334
2020-05-10,227.16666666666666
2020-05-11,222.41666666666666
2020-05-12,217.45833333333334
2020-05-13,212.625
2020-05-14,223.20833333333334
2020-05-15,218.29166666666666
2020-05-16,237.25
2020-05-17,243.58333333333334
2020-05-18,230.0
2020-05-19,228.08333333333334
2020-05-20,251.91666666666666
2020-05-21,224.5
2020-05-22,212.95833333333334
2020-05-23,199.16666666666666
2020-05-24,181.58333333333334
2020-05-25,235.625
2020-05-26,237.875
2020-05-27,235.70833333333334
2020-05-28,235.0
2020-05-29,215.20833333333334
2020-05-30,194.70833333333334
2020-05-31,198.29166666666666
2020-06-01,206.75
2020-06-02,204.33333333333334
2020-06-03,184.16666666666666
2020-06-04,188.95833333333334
2020-06-05,203.5
2020-06-06,191.41666666666666
2020-06-07,197.5
2020-06-08,220.95833333333334
2020-06-09,210.25
2020-06-10,204.08333333333334
2020-06-11,199.54166666666666
2020-06-12,195.29166666666666
2020-06-13,196.625
2020-06-14,192.58333333333334
2020-06-15,187.70833333333334
2020-06-16,196.16666666666666
2020-06-17,195.25
2020-06-18,200.5
2020-06-19,193.375
2020-06-20,192.0
2020-06-21,186.125
2020-06-22,195.04166666666666
2020-06-23,180.83333333333334
2020-06-24,194.5
2020-06-25,176.91666666666666
2020-06-26,172.20833333333334
2020-06-27,194.66666666666666
2020-06-28,176.875
2020-06-29,177.91666666666666
2020-06-30,175.41666666666666
2020-07-01,180.29166666666666
2020-07-02,181.29166666666666
2020-07-03,171.375
2020-07-04,175.45833333333334
2020-07-05,187.83333333333334
2020-07-06,169.66666666666666
2020-07-07,179.08333333333334
2020-07-08,176.66666666666666
2020-07-09,177.29166666666666
2020-07-10,169.0
2020-07-11,180.20833333333334
2020-07-12,158.125
2020-07-13,169.25
2020-07-14,175.5
2020-07-15,164.79166666666666
2020-07-16,165.70833333333334
2020-07-17,179.58333333333334
2020-07-18,178.375
