Date,AMAZONAS DARDANELOS
2020-01-01,350.2083333333333
2020-01-02,372.7916666666667
2020-01-03,419.2083333333333
2020-01-04,478.5
2020-01-05,561.25
2020-01-06,619.75
2020-01-07,667.6666666666666
2020-01-08,683.9583333333334
2020-01-09,702.7916666666666
2020-01-10,734.0833333333334
2020-01-11,741.125
2020-01-12,754.375
2020-01-13,763.9583333333334
2020-01-14,755.375
2020-01-15,696.7916666666666
2020-01-16,723.7916666666666
2020-01-17,740.5
2020-01-18,653.3333333333334
2020-01-19,642.4166666666666
2020-01-20,574.25
2020-01-21,541.6666666666666
2020-01-22,510.7916666666667
2020-01-23,526.0416666666666
2020-01-24,511.9583333333333
2020-01-25,504.2916666666667
2020-01-26,490.9166666666667
2020-01-27,343.5
2020-01-28,454.75
2020-01-29,440.25
2020-01-30,487.7083333333333
2020-01-31,569.0
2020-02-01,591.6666666666666
2020-02-02,597.6666666666666
2020-02-03,594.1666666666666
2020-02-04,594.0833333333334
2020-02-05,600.7083333333334
2020-02-06,604.5416666666666
2020-02-07,605.5833333333334
2020-02-08,625.9166666666666
2020-02-09,645.8333333333334
2020-02-10,670.0
2020-02-11,694.75
2020-02-12,735.625
2020-02-13,769.3333333333334
2020-02-14,739.5833333333334
2020-02-15,761.25
2020-02-16,782.125
2020-02-17,723.8333333333334
2020-02-18,705.2916666666666
2020-02-19,641.9583333333334
2020-02-20,618.625
2020-02-21,618.9583333333334
2020-02-22,622.9166666666666
2020-02-23,654.4583333333334
2020-02-24,691.7916666666666
2020-02-25,728.0416666666666
2020-02-26,766.5714285714286
2020-02-27,902.4166666666666
2020-02-28,966.2916666666666
2020-02-29,1047.5
2020-03-01,1137.5
2020-03-02,1125.875
2020-03-03,1144.8333333333333
2020-03-04,1159.125
2020-03-05,1174.875
2020-03-06,1189.4166666666667
2020-03-07,1207.5
2020-03-08,1215.125
2020-03-09,1211.1666666666667
2020-03-10,1205.25
2020-03-11,1202.1666666666667
2020-03-12,1167.5
2020-03-13,1135.9166666666667
2020-03-14,1125.125
2020-03-15,1089.375
2020-03-16,1033.0
2020-03-17,1064.1666666666667
2020-03-18,992.625
2020-03-19,950.8333333333334
2020-03-20,926.875
2020-03-21,890.1666666666666
2020-03-22,924.3333333333334
2020-03-23,881.4583333333334
2020-03-24,893.8333333333334
2020-03-25,926.125
2020-03-26,962.9166666666666
2020-03-27,967.125
2020-03-28,972.0
2020-03-29,968.6666666666666
2020-03-30,978.6666666666666
2020-03-31,975.7916666666666
2020-04-01,980.625
2020-04-02,968.9166666666666
2020-04-03,974.2916666666666
2020-04-04,934.1666666666666
2020-04-05,908.875
2020-04-06,864.25
2020-04-07,819.5
2020-04-08,789.9166666666666
2020-04-09,773.5
2020-04-10,705.8333333333334
2020-04-11,684.0833333333334
2020-04-12,650.0833333333334
2020-04-13,634.7916666666666
2020-04-14,631.2083333333334
2020-04-15,640.4583333333334
2020-04-16,645.9583333333334
2020-04-17,633.3333333333334
2020-04-18,626.5
2020-04-19,623.5
2020-04-20,620.9166666666666
2020-04-21,607.1666666666666
2020-04-22,586.2083333333334
2020-04-23,565.0833333333334
2020-04-24,546.875
2020-04-25,539.2916666666666
2020-04-26,552.2916666666666
2020-04-27,531.25
2020-04-28,517.9583333333334
2020-04-29,492.6666666666667
2020-04-30,495.7083333333333
2020-05-01,440.5416666666667
2020-05-02,411.4166666666667
2020-05-03,385.9583333333333
2020-05-04,366.25
2020-05-05,345.7916666666667
2020-05-06,349.75
2020-05-07,344.9166666666667
2020-05-08,403.0416666666667
2020-05-09,337.0833333333333
2020-05-10,337.0833333333333
2020-05-11,334.1666666666667
2020-05-12,336.6666666666667
2020-05-13,329.2083333333333
2020-05-14,322.2083333333333
2020-05-15,337.1666666666667
2020-05-16,344.7083333333333
2020-05-17,335.0
2020-05-18,317.8333333333333
2020-05-19,298.25
2020-05-20,288.5833333333333
2020-05-21,280.4166666666667
2020-05-22,289.2083333333333
2020-05-23,291.0
2020-05-24,281.9583333333333
2020-05-25,271.125
2020-05-26,265.3333333333333
2020-05-27,257.75
2020-05-28,252.75
2020-05-29,248.83333333333334
2020-05-30,262.4166666666667
2020-05-31,284.75
2020-06-01,238.29166666666666
2020-06-02,233.0
2020-06-03,235.33333333333334
2020-06-04,234.875
2020-06-05,232.04166666666666
2020-06-06,230.04166666666666
2020-06-07,232.29166666666666
2020-06-08,230.29166666666666
2020-06-09,224.5
2020-06-10,222.375
2020-06-11,215.75
2020-06-12,214.5
2020-06-13,210.29166666666666
2020-06-14,198.33333333333334
2020-06-15,186.41666666666666
2020-06-16,182.45833333333334
2020-06-17,179.66666666666666
2020-06-18,176.95833333333334
2020-06-19,175.91666666666666
2020-06-20,174.04166666666666
2020-06-21,167.375
2020-06-22,142.16666666666666
2020-06-23,142.16666666666666
2020-06-24,142.0
2020-06-25,143.33333333333334
2020-06-26,143.04166666666666
2020-06-27,141.375
2020-06-28,140.29166666666666
2020-06-29,137.33333333333334
2020-06-30,138.70833333333334
2020-07-01,139.5
2020-07-02,141.20833333333334
2020-07-03,136.70833333333334
2020-07-04,136.875
2020-07-05,134.41666666666666
2020-07-06,129.08333333333334
2020-07-07,127.25
2020-07-08,132.79166666666666
2020-07-09,150.04166666666666
2020-07-10,146.58333333333334
2020-07-11,146.54166666666666
2020-07-12,144.08333333333334
2020-07-13,144.66666666666666
2020-07-14,141.58333333333334
2020-07-15,141.58333333333334
2020-07-16,142.0
2020-07-17,140.375
2020-07-18,138.33333333333334
2020-07-19,135.25
2020-07-20,129.54166666666666
