Date,PARAIBA DO SUL FUNIL
2020-01-01,85.29166666666667
2020-01-02,83.375
2020-01-03,87.5
2020-01-04,182.08333333333334
2020-01-05,188.875
2020-01-06,260.625
2020-01-07,177.66666666666666
2020-01-08,212.16666666666666
2020-01-09,217.0
2020-01-10,237.625
2020-01-11,235.875
2020-01-12,229.375
2020-01-13,274.6666666666667
2020-01-14,388.25
2020-01-15,309.625
2020-01-16,237.04166666666666
2020-01-17,194.16666666666666
2020-01-18,157.16666666666666
2020-01-19,177.20833333333334
2020-01-20,138.25
2020-01-21,123.79166666666667
2020-01-22,108.875
2020-01-23,160.45833333333334
2020-01-24,208.58333333333334
2020-01-25,188.41666666666666
2020-01-26,154.79166666666666
2020-01-27,135.91666666666666
2020-01-28,115.5
2020-01-29,109.58333333333333
2020-01-30,106.875
2020-01-31,102.08333333333333
2020-02-01,148.5
2020-02-02,177.5
2020-02-03,221.0
2020-02-04,389.9583333333333
2020-02-05,322.4583333333333
2020-02-06,357.625
2020-02-07,377.3333333333333
2020-02-08,335.1666666666667
2020-02-09,270.5416666666667
2020-02-10,240.45833333333334
2020-02-11,502.875
2020-02-12,544.5833333333334
2020-02-13,475.6666666666667
2020-02-14,415.4583333333333
2020-02-15,339.8333333333333
2020-02-16,289.0
2020-02-17,241.95833333333334
2020-02-18,223.45833333333334
2020-02-19,252.66666666666666
2020-02-20,207.20833333333334
2020-02-21,266.125
2020-02-22,269.0416666666667
2020-02-23,283.4583333333333
2020-02-24,290.1666666666667
2020-02-25,248.79166666666666
2020-02-26,390.5833333333333
2020-02-27,450.8333333333333
2020-02-28,464.0
2020-02-29,449.5833333333333
2020-03-01,573.75
2020-03-02,547.0
2020-03-03,373.8333333333333
2020-03-04,294.7083333333333
2020-03-05,275.7083333333333
2020-03-06,244.79166666666666
2020-03-07,205.375
2020-03-08,223.41666666666666
2020-03-09,257.0416666666667
2020-03-10,214.875
2020-03-11,189.95833333333334
2020-03-12,177.125
2020-03-13,156.79166666666666
2020-03-14,158.70833333333334
2020-03-15,153.125
2020-03-16,149.54166666666666
2020-03-17,236.58333333333334
2020-03-18,162.58333333333334
2020-03-19,187.70833333333334
2020-03-20,143.125
2020-03-21,192.45833333333334
2020-03-22,194.41666666666666
2020-03-23,182.625
2020-03-24,163.20833333333334
2020-03-25,152.66666666666666
2020-03-26,130.375
2020-03-27,124.75
2020-03-28,112.625
2020-03-29,124.375
2020-03-30,260.2916666666667
2020-03-31,248.91666666666666
2020-04-01,254.70833333333334
2020-04-02,178.625
2020-04-03,147.16666666666666
2020-04-04,133.45833333333334
2020-04-05,124.08333333333333
2020-04-06,111.58333333333333
2020-04-07,113.0
2020-04-08,124.08333333333333
2020-04-09,125.33333333333333
2020-04-10,115.83333333333333
2020-04-11,111.625
2020-04-12,113.45833333333333
2020-04-13,109.58333333333333
2020-04-14,107.66666666666667
2020-04-15,92.20833333333333
2020-04-16,118.125
2020-04-17,94.75
2020-04-18,114.04166666666667
2020-04-19,105.91666666666667
2020-04-20,101.08333333333333
2020-04-21,99.20833333333333
2020-04-22,84.375
2020-04-23,99.25
2020-04-24,100.625
2020-04-25,80.91666666666667
2020-04-26,98.20833333333333
2020-04-27,83.08333333333333
2020-04-28,89.08333333333333
2020-04-29,93.83333333333333
2020-04-30,73.625
2020-05-01,82.20833333333333
2020-05-02,78.875
2020-05-03,56.75
2020-05-04,97.5
2020-05-05,82.45833333333333
2020-05-06,76.33333333333333
2020-05-07,82.375
2020-05-08,79.83333333333333
2020-05-09,89.08333333333333
2020-05-10,90.125
2020-05-11,78.41666666666667
2020-05-12,78.41666666666667
2020-05-13,79.66666666666667
2020-05-14,89.25
2020-05-15,94.04166666666667
2020-05-16,104.79166666666667
2020-05-17,85.70833333333333
2020-05-18,78.20833333333333
2020-05-19,87.625
2020-05-20,80.70833333333333
2020-05-21,77.75
2020-05-22,73.29166666666667
2020-05-23,79.70833333333333
2020-05-24,89.08333333333333
2020-05-25,80.20833333333333
2020-05-26,69.0
2020-05-27,68.25
2020-05-28,64.25
2020-05-29,77.66666666666667
2020-05-30,72.66666666666667
2020-05-31,72.5
2020-06-01,89.54166666666667
2020-06-02,109.625
2020-06-03,125.54166666666667
2020-06-04,114.66666666666667
2020-06-05,128.95833333333334
2020-06-06,124.08333333333333
2020-06-07,144.20833333333334
2020-06-08,162.08333333333334
2020-06-09,180.125
2020-06-10,191.91666666666666
2020-06-11,186.41666666666666
2020-06-12,189.20833333333334
2020-06-13,174.08333333333334
2020-06-14,183.79166666666666
2020-06-15,187.54166666666666
2020-06-16,182.04166666666666
2020-06-17,159.41666666666666
2020-06-18,203.20833333333334
2020-06-19,172.79166666666666
2020-06-20,179.29166666666666
2020-06-21,186.08333333333334
2020-06-22,171.91666666666666
2020-06-23,185.08333333333334
2020-06-24,178.33333333333334
2020-06-25,196.625
2020-06-26,167.875
2020-06-27,192.95833333333334
2020-06-28,173.58333333333334
2020-06-29,190.16666666666666
2020-06-30,201.29166666666666
2020-07-01,198.66666666666666
2020-07-02,187.83333333333334
2020-07-03,185.08333333333334
2020-07-04,188.16666666666666
2020-07-05,182.95833333333334
2020-07-06,199.33333333333334
2020-07-07,171.58333333333334
2020-07-08,189.54166666666666
2020-07-09,183.375
2020-07-10,182.29166666666666
2020-07-11,185.625
2020-07-12,179.16666666666666
2020-07-13,185.20833333333334
2020-07-14,185.16666666666666
2020-07-15,188.375
2020-07-16,177.16666666666666
2020-07-17,184.58333333333334
2020-07-18,170.875
2020-07-19,185.66666666666666
2020-07-20,173.75
